customer_id,total_transactions,total_spent,avg_transaction_amount,first,last,state,Customer_Age
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,20
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,65
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,56
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,31
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,68
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,44
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,55
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,25
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,46
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,28
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,54
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,38
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,35
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,58
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,34
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,40
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,19
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,66
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,64
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,43
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,27
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,67
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,62
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,29
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,18
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,63
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,41
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,33
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,39
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,48
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,47
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,37
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,42
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,52
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,21
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,32
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,60
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,45
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,53
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,36
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,30
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,51
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,23
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,22
60416207185,124,5092.56,41.06903225806452,Mary,Diaz,WY,24
